"id","dtCreated","name","shortName","description","shortDescription"
25,2014-01-01,"obrien","R5_SALS","Sparrow and shorebird work on the Gulf of Maine.
Kate OBrien - USFWS
Kate OBrien's Saltmarsh Sharptailed Sparrow project at Rachel Carson NWR.","Shorebird work on the Gulf of Maine.  Saltmarsh Sparrow migration project.  "
26,2014-01-01,"Salda - Atlantic Bank Swallows","Salda","Studying foraging and roosting habitat selection in Bank Swallows.
Sarah Saldahana - Dalhousie University and Acadia University","Studying foraging and roosting habitat selection in Bank Swallows."
27,2014-01-01,"Smith","PSmith","A wide variety of migratory shorebird projects focusing on Semipalmated Sanpipers and Red Knots.

Dr. Paul Smith - Environment Canada","A wide variety of migratory shorebird projects focusing on Semipalmated Sanpipers and Red Knots."
28,2013-01-01,"Taylor - Petrels","TaylorPetrels","Foraging behaviour or Leach's Storm Petrels in Nova Scotia - Acadia University","Foraging behaviour or Leach's Storm Petrels in Nova Scotia"
29,2016-01-01,"R5_SALS","R5_SALS2","","Currently only winter/spring deployments on Saltmarsh Sparrow (SALS) in South Carolina"
30,2014-01-01,"Range Tests","test","","Tags used for range tests, or not attached to organisms, but whose data are still ""real""."
31,2016-01-01,"Louisiana SPDOR VHF Network","Louisiana SPDOR","The Statewide Passive Detection for Organismal Research (SPDOR) VHF Network project expects to deploy 30 receiver stations within the Louisiana Coastal Zone and along major migration corridors through generous financial and/or field staff support from the Louisiana Wildlife and Fisheries Foundation, the Barataria-Terrebonne National Estuary Program, ConocoPhillips, USFWS Wildlife and Sport Fish Restoration Program, and the Louisiana Department of Wildlife and Fisheries.  

Current main objectives include:

1)	Develop and install coast-wide network of at least 30 land based, VHF telemetry receiver stations that may be utilized by multiple researchers, partners, and for multiple taxa by 30 June 2020; we expect several stations to be operational by fall 2019.
2)	Collaborate with at least one additional  partner to measure suitability of the network for non-avian taxa (e.g., bats, insects, etc.) by 30 June 2020

Note that our main goal is to assist fellow wildlife biologists by the creation and maintenance of the necessary infrastructure to fill the network gap along the northern Gulf of Mexico.
","Louisiana Department of Wildlife and Fisheries' Statewide Detection for Organismal Research (SPDOR) VHF Network
"
32,2014-01-01,"Dowling","Dowling","Wind energy development is promoted by both governmental and nonprofit entities as an environmentally friendly alternative to greenhouse gas-emitting fossil fuels.  However, wind farms can have negative impacts on wildlife, including bats (GAO 2005).  A recent study estimated 600,000 bats were killed by wind power in the United States in 2012 (Hayes 2013).

The effects of wind development on bat populations may be especially detrimental to migratory tree and foliage-roosting bats, which comprise about 75% of all fatalities reported in North America (Arnett et al. 2008).  In the northeastern United States, long-distance migrants include the hoary bat (Lasiurus cinereus), the eastern red bat (L. borealis), and the silver-haired bat (Lasionycteris noctivagans).  These species face the greatest risks during their fall migration southward, with mortality at wind farms peaking during this season (Arnett et al. 2008).  Little is known about the timing, routes, or drivers of migration in these species, or why they are particularly vulnerable to wind farm mortality during fall migration.  

Major bat migratory pathways in the northeastern U.S. have not been identified, but songbirds often follow coastal routes during migration, and it has been hypothesized that North American bats may follow similar pathways (Cryan 2003, Johnson et al. 2011).  Recent acoustic surveys in the Gulf of Maine have found activity of migratory bat species to be higher in coastal areas compared to inland sites (Stantec 2012), supporting the idea that coastal areas may serve as migratory pathways.  

This study will take advantage of the automated telemetry station network, in order to monitor late summer and fall movements of migratory bat species.  The goals of this research are 1) to monitor the coastal and offshore movements of migratory bats along the Eastern Seaboard, 2) to better characterize bat migration, including timing of movements, stopover, etc., and 3) to analyze diets of coastal migratory bats, to explore whether insect populations may serve as a driver of migration.  A better understanding of bat migration can greatly improve our knowledge of how populations will react to wind development, as well as inform minimization efforts and wind energy regulation. 
","Migratory season tracking of eastern red, hoary, and silver-haired bats to inform migration ecology and offshore wind development"
33,2016-01-01,"Ernst","Ernst","Saltmarsh Sparrows
Nick Ernst - USFWS","Fall deployments on Saltmarsh Sparrows in Rhode Island"
34,2014-01-01,"Gratto","Gratto","Piping Plover post-breeding dispersal in Nova Scotia.
Cheri Gratto-Trevor - Environment Canada","Piping Plover post-breeding dispersal in Nova Scotia."
35,2016-01-01,"Powdermill Nature Reserve","PARC","","Studies investigating stopover ecology of migrant songbirds at Carnegie Museum of Natural History's Powdermill Avian Research Center (PARC)."
36,2016-01-01,"Chickadee natal dispersal and social behavior","UOLavalBCCH","We want to understand the links between natal dispersal and the establishment of social relationships by juvenile Black-capped Chickadees (Poecile atricapillus) once they settle into winter flocks. We wish to determine whether social establishment patterns differ betwen periurban and agriculture-dominated landscapes.

MOTUS will help us track the dispersal of young BCCH from natal territory to their wintering grounds. We hope to make effective use of a whip antenna connected to a SensorGnome aboard a vehicle as a first step to zero in on those elusive dispersers.

As a pilot project, four BCCH were fitted with coded transmitters on 8 September 2016, in a wooded area on the southern edge of the greater Ottawa region. The pilot project was inconclusive, and the project is put on hod for now. (Last update 28 June 2017)
","PIs: Julie Morand-Ferron (U of Ottawa), Andre Desrochers (U Laval).
Establishment of juvenile Black-capped Chickadees in winter flocks.
"
37,2014-01-01,"Wheeler - Loggerhead Shrike","OntLOSH","Wildlife Preservation Canada has been coordinating the captive-breeding and release program for Loggerhead Shrike in Ontario since 2003.  PVAs have indicated that overwinter survival of hatch-year and second-year birds is the most sensitive factor in determining the population trend, suggesting that the main threats to our Ontario population may lie either on the wintering grounds, or along the migratory routes.  This information is the main information gap that exists for the species in Ontario, so WPC has started to deploy radio tags on captive-bred juveniles prior to release, to track their migratory movements and locate wintering grounds. ","Captive bred Loggerhead Shrike experiment."
38,2014-01-01,"James Bay Shorebirds","JamesBay","Collaborative monitoring and research on shorebirds is being conducted by the Royal Ontario Museum, the Ontario Ministry of Natural Resources, Bird Studies Canada, Trent University, and the Canadian Wildlife Service and in conjunction with a larger conservation initiative involving James Bay First Nations and Nature Canada. Although the monitoring and research project will focus on shorebirds, the partner agencies will conduct related work on other migratory birds, other wildlife, and habitats on the James Bay coast.
Project Goals:
-To improve indices of abundance that may be used to monitor trends in shorebird populations staging along the western James Bay coast;
-To improve our understanding of spatial and temporal patterns of habitat/resource use and potential causes for their variation;
-To improve  identification of important shorebird staging habitats based on recent shorebird research and traditional ecological knowledge;
-To recommend protection of habitat, and nomination of WHSRN site(s) for western James Bay if supported by the data and required; and
-Further, to gain information on the migration and staging ecology of the Red Knot leading to protection of habitat from damage and destruction under the provincial Endangered Species Act.

Annual Objectives: 
-Quantify use of known Red Knot foraging and roosting locations;
-Use known staging area data to predict other staging areas along the James Bay coast and determine their use by shorebirds;
-Estimate the numbers and monitor temporal patterns of southbound migration of all shorebird species, including phenology of adults and juveniles;
-Identify and where possible delineate foraging areas and roosts used by staging shorebirds  ;
-Estimate annual variation in indices of abundance of staging shorebirds;
-Determine habitat use by shorebirds at the project survey sites; and
-Identify and record marked individuals (e.g., nanotags, leg flags and alphanumeric codes).","Multi-agency shorebird monitoring on the western coast of James Bay."
39,2014-01-01,"Nol/Parada- Blackpoll Warbler Migration","NolBLPW","",""
40,2014-01-01,"EC - Arctic Shorebirds","BurntPoint","Collaborative shorebird breeding ecology and migration project in Canadian arctic and flyways.
Dr. Paul Smith - Environment Canada
Dr. Erica Nol - Trent University
Dr. Rod Brook - Ontario Ministry of Natural Resources and Forestry
Lisa Pollock - Ontario Ministry of Natural Resources and Forestry

with

Laura Koloski
Lisa Kennedy
Sarah Neima
Scott Flemming","Collective of stations throughout the Canadian arctic and subarctic in support of shorebird ecology research."
41,2016-01-01,"Max Planck ","Vorneweg","
","Bat Tracking"
42,2014-01-01,"Tremblay - Boreal Woodpeckers as forest indicators","Tremblay","To be completed by PI","To be completed by PI"
43,2014-01-01,"Eastern Shore of Virginia National Wildlife Refuge","Denmon","1 Motus Station maintained by ESV - NWR - USFWS
Pam Denmon - USFWS ","1 Motus Station maintained by ESV - NWR - USFWS"
45,2014-01-01,"Merlin","AdamSmith","Digitally-coded tags on southward migrating Merlins captured during fall on Block Island, Rhode Island","Digitally-coded tags on southward migrating Merlins captured during fall on Block Island, Rhode Island "
46,2016-01-01,"Stutchbury - Ontario Wood Thrush","OntWOTH","Survival, dispersal, and on-set of migration for juvenile and adult Wood Thrush.","Survival, dispersal, and on-set of migration for juvenile and adult Wood Thrush."
47,2014-01-01,"Red Knot Staging and Migration Ecology","Niles","The Red Knot (rufa subspecies) suffered remarkable declines in the last two decades. As part of a large international research and conservation effort, this study is investigating the staging ecology, migration timing and routes of Red Knots from critical sites across eastern North America including Delaware Bay - New Jersey, Mignan Archipelago - Quebec, James Bay - Ontario, Nelson River Estuary - Manitoba, and Southampton Island - Nunavut. Researchers are learning how long knots are using each of these critical areas and how fast they are moving between them. Southbound also migrants made important use of the Atlantic Coast in the United States including Cape Cod, Massachusetts, and New Jersey.  These stopover sites are vitally important for birds preparing for their long distance south bound flight to northern Brazil and Argentina/Chile - Tierra del Fuego.

The animation available here - http://motus-wts.org/data/demo/redKnotDetections2014.html -  shows a sample of relatively fast, <3 day duration, movements of Knots across the landscape.

Research Team: Environment Canada, New Jersey Fish and Wildlife, Conserve Wildlife Foundation of New Jersey. 

PI's
Dr. Paul Smith
Dr. Larry Niles 
Dr. Amanda Dey
","Stopover and migration ecology of Red Knots at Delaware Bay, NJ."
48,2014-01-01,"Northeast Motus Collaboration","NE-Motus","The Northeast Motus Collaboration is a cooperative effort between the Willistown Conservation Trust, Project Owlnet, the Ned Smith Center for Nature and Art, and the Carnegie Museum of Natural History to increase the coverage of the Motus based network of telemetry receiving stations in the interior of the Northeastern United States.

David Brinker and Scott Weidensaul","A collaborative effort expanding inland Motus receiver locations throughout the Northeastern United States in support of all projects."
49,2015-01-01,"Thrush post-breeding ecology in Quebec","QC-Thrush","We want to document and understand post-breeding dispersal and fall migration by three species of boreal forest thrushes, in collaboration with other MOTUS research teams. More specifically, we want to determine whether these species shift their home ranges from nesting sites to nearby early-seral stands for a berry-dominated diet. Another study (Auk 129:419-426,2012) documented heavy use of Sambucus berries in this landscape by migrant forest songbirds, which suggest an important role for early-seral stands here. Of course, we are also interested in documenting species, age, and sex-specific differences in migration.

Studying migration and dispersal at the same time requires some creativity in the use of SensorGnome receptors. We combine three reception strategies for coded transmitters, namely: fixed towers, car-mounted, and drone-mounted SensorGnomes, to obtain data to infer species presence and departure times, landscape-scale movements (< 100 km2), and hopefully, higher-resolution habitat selection.

We nanotag birds in two locations: Forêt Montmorency (FM) and Observatoire d'oiseaux de Tadoussac (OOT). At the FM, we focus on post-breeding movements with a concentration of 6 MOTUS stations in a ~ 100 km2 area. The Observatoire de'oiseaux de Tadoussac is used to capture SWTH and GCTH and fit nanotags on them specifically to document their fall migration. To this end, we have deployed receiving stations along the St-Lawrence estuary and river.

As of 28 September 2016, we tagged 155 SWTH, 27 GCTH and 28 BITH in summer (Forêt Montmorency) and Fall (Tadoussac). 

NB - Receiver Deployment information under project 3. EC - Quebec St. Laurent.
","PIs: Andre Derochers (U Laval), Junior Tremblay & Yves Aubry (Env Canada)
Breeding, post-breeding, and migratory ecology of BITH, SWTH, GCTH."
50,2014-01-01,"Morbey - Protandry","Protandry","Protandry study on migratory warblers through Ontario.
Dr. Yolanda Morbey and Dr. Chris Guglielmo - Western University","Protandry study on migratory warblers through Ontario. Also some data on Myotis bats on the Bruce Peninsula."
51,2016-01-01,"Nol - Wintering Shorebirds","NolWS","Erica Nol - wintering shorebirds","Erica Nol -  wintering shorebirds"
54,2015-01-01,"Indiana Bats - 2015","Indiana_bats","Indiana Bat Migration. Indiana Bats - 2015
Dr. Liam McGuire - Texas Tech 
Dr. Justin Boyles - Southern Illinois U","Indiana Bats - 2015"
55,2015-01-01,"Norris - MOBU 2015","NorrisMOBU","Monarch butterfly foraging and migration behaviour.
Dr. Ryan Norris
Grace Pitman","Monarch butterfly foraging and migration behaviour."
56,2016-01-01,"Pennsylvania Audubon - Presque Isle Migrants","PresqueIslePA","The coastal zone of Pennsylvania along Lake Erie has been extensively modified and developed, with relatively few areas of natural habitat cover remaining. This study will use the Motus system to help understand movements among patches and duration of stay in patches, as well as lake-crossing behavior of migrant land birds in spring. In 2016 we are focusing on Presque Isle State Park, a 6-mile long peninsula just off the city of Erie, and the largest area of natural cover in the coastal zone. In subsequent years we plan to deploy transmitters at additional coastal sites to determine if birds move onto the peninsula from nearby smaller habitat patches. 

We are using a hand-held receiver to locate tagged birds prior to their departure northward, but hope to continue to add more receiver stations along the Pennsylvania coastal zone to make automatic detection more ","Habitat use by land birds along the Lake Erie shoreline of Pennsylvania during spring migration."
57,2015-01-01,"SELVA Colombia","SELVA","
1)Landscape use and continental movement patterns of Gray-cheeked Thrush: 
The duration of migration is mostly determined by the length of stopovers made between the site of origin and that of final destination. However, stopover sites are unfamiliar places full of risks for birds. This means that bird behavior at these sites is critical to detemrine whether individuals succeed on to the next stage of migration. Current technology allows to obtain both, fine-scale movement data at a local scale, as well as to follow the movements of birds across continents. We will integrate behavioral data with remote tracking to understand how birds choose between habitats in a landscape matrix, how long they spend fuelling and if this varies in individuals of different age or sex. Furthermore, we hope that the MOTUS continental alliance, through its network of radio towers, will provide precise information about the duration of migration and migratory routes of this and other species.

Dr. Camila Gomez
Dr. Nick Bayly
Dr. Keith Hobson
Dr. Daniel Cadena

2) Winter habitat use of Canada Warbler and Swainson's Thrush.
Five year study in shade-coffee plantations and native forest fragments aimed at understanding space use, over-winter persistence and survival and effects on subsequent migratory movements of occupying these two key Andean habitats for migratory birds.

Dr. Ana Maria Gonzalez
Dr. Nick Bayly
Dr. Keith Hobson

3) Stopover ecology of migratory landbirds in the Caribbean tropical dry forests of Colombia
In 2016, occupancy surveys carried out under the Neotropical Flyways Project identified tropical dry forests as a key stopover habitat during spring migration for a range of species that over-winter elsewhere in South America. This previously unknown role of these forests in maintaining migratory processes, highlights the need for increasing our knowledge of how birds use these areas. This need is even more critical given that tropical dry forests have lost 92% of their original cover in Colombia and are used by declining migrants such as Yellow-billed Cuckoo, Alder Flycatcher and Mourning Warbler. The deployment of Motus tags in this project will enable the estimation of key parameters of stopover behavior, such as duration, as well as describe onward migratory strategies.

Dr. Nick Bayly
Dr. Keith Hobson
Dr. Ken Rosenberg
Pilar Caicedo

4) Pre-migratory fueling in Colombia and spring migration strategies in Blackpoll Warbler
Blackpoll Warbler are known for remarkable endurance flights over the Atlantic Ocean during fall migration but their spring migration strategy is largely unknown. This study will describe pre-migratory fueling behavior at wintering areas in Colombia and determine the length, speed and duration of onward migratory flights through the deployment of radiotransmitters. 

Dr. Nick Bayly
Dr. Ryan Norris
Dr. Phil Taylor
Dr. Keith Hobson","SELVA's migratory bird program includes several projects aimed at understanding stopover behavior and over-winter habitat use in Colombia.
"
58,2015-01-01,"Semipalmated Sandpiper stopover in Plymouth, MA","Plymouth","A joint project between Manomet and MassWildlife will be deploying nanotags on SESAs in Plymouth Bay to learn more about their local stopover ecology.","A joint project between Manomet and MassWildlife will be deploying nanotags on SESAs in Plymouth Bay to learn more about their local stopover ecology."
59,2015-01-01,"NJ Audubon - Delaware Bay Shorebirds","NJA-DEBay","The objectives are several.  First, we aim to document habitat use, movement patterns and length of stay in Semipalmated Sandpipers (SESA)staging in Delaware Bay the during spring migration staging periods. For these data needs, we will deploy tags during the early part of the staging period. 

We will use length of stay data to estimate ""survival"" for birds during the staging period.  These estimates, along with survival estimates from breeding and wintering areas will be used to develop develop a spatially explicit, full life-cycle model to assess the relative contribution of drivers that underlie SESA population declines.  The model will provide insight into when during the annual cycle Atlantic Flyway SESA  are subject to the most detrimental threats and  will be a tool for developing conservation and management strategies that abate declines and for making decisions about allocating resources to implement these strategies. 

We will also deploy tags towards the end of the staging period to help characterize routes, stopover site use and stopover duration during migration to and from the breeding grounds.  ","Track Semipalmated Sandpipers staging in Delaware Bay during spring migration"
60,2015-01-01,"Mitchell - Canada Warbler - Stopover Ecology","Mitchell","Stopover ecology and habitat selection and migration of Canada Warblers in southern Ontario.
Dr. Greg Mitchell - Environment Canada","Stopover ecology and habitat selection and migration of Canada Warblers in southern Ontario."
61,2015-01-01,"EC Auks","ECauks","Black Guillemot and Razorbill study in the Bay of Fundy.
Dr. Rob Ronconi - Environment Canada","Black Guillemot and Razorbill study in the Bay of Fundy."
62,2015-01-01,"Western Chickadees","Course","","Christopher Course - Western University Black-capped Chickadee Study"
63,2015-01-01,"Saskatchewan Migratory Shorebirds","USask","Investigating shorebird stopover timing at Chaplin and Reed Lake, Saskatchewan.
Christy Morrissey - University of Saskatchewan
Ann McKellar - Environment Canada","Shorebird stopover timing and habitat use in Saskatchewan"
64,2014-01-01,"Ohio State University","Tonra","To be completed by PI","Rusty Blackbird stopover ecology and Black-crowned Night Heron post-fledging survival"
65,2015-01-01,"Texas Gulf Coast Migratory Shorebirds","TXShorebirds","Stopover and migration ecology of REKN and SAND on the Texas Coast in relation to contaminant exposure

David Newstead - Coastal Bend Bays & Estuaries Program 
Christy Morrissey - University of Saskatchewan","Stopover and migration ecology of migratory REKN and SAND on the Texas Coast."
66,2015-01-01,"EBM_Coats (#66)","EBM_Coats","","Arctic-breeding shorebirds captured on the nest during the breeding season between 2014-2016"
67,2015-01-01,"Nol - Churchill Shorebirds","Churchill","We test specific hypotheses relating both intrinsic (e.g., age, sex, condition) and extrinsic factors
(habitat quality,habitat degradation by arctic geese) to the patterns of departure and stopover ecology of two species of migrating shorebirds. We capitalize on a large group of potential  collaborators, the ability to obtain nanotag transmitters for the birds, and the presence of VHF receiving towers at > 200 breeding and stopover locations to assess factors impacting departure times, speed of migration and stopover lengths. This information will provide details of ecosystem function in the Hudson Bay lowland region of Manitoba and Ontario. Stopover habitat quality is an essential component of preserving shorebird biodiversity and preventing population decline. ","Assessing Departure and Stopover Ecology of Two Species of Migrating Shorebirds
"
68,2015-01-01,"Arctic Shorebirds - CWS Yellowknife","CWS-YK","","Shorebird study at the Polar Bear Pass National Wildlife Area on Bathurst Island, Nunavut."
69,2015-01-01,"Hilliardton Marsh Research and Education Centre","Hilliardton","To be completed by PI","To be completed by PI"
70,2015-01-01,"Ontario Bank Swallows","ErieBANS","Tracking foraging and roosting areas of Bank Swallows nesting at aggregate pits and lake shore bluffs. 
Bird Studies Canada and Environment Canada
Dr. Greg Mitchell
Dr. Erica Nol
Tianna Burke
Myles Falconer","Tracking foraging and roosting areas of Bank Swallows nesting at aggregate pits and lake shore bluffs. "
71,2015-01-01,"Lake Erie Bats ","PADEP","Study of bat stopover and migration (including cross-lake migration) of migratory tree bats at Long Point, Ontario. 

Study of post-breeding dispersal and habitat use of Myotis lucifugus in Norfolk County, Ontario.

Bird Studies Canada - Long Point Bird Observatory
Texas Tech University
University of Western Ontario
Ontario Ministry of Natural Resources and Forestry
Environment Canada

","Study of bat migration, post-breeding dispersal and habitat use in Norfolk County and Long Point, Ontario."
72,2015-01-01,"Atlantic Canada BITH","AtlanticBITH","Post-breeding dispersal and migratory movements of Bicknell's Thrush in Atlantic Canada.

Project partners: Bird Studies Canada, University of New Brunswick, Acadia University, Parks Canada, Environment Canada.","Post-breeding dispersal and migratory movements of Bicknell's Thrush in Atlantic Canada."
73,2015-01-01,"Mississippi Clapper Rail","GulfCoastRails","","Using automated telemetry to estimate seasonal and annual survivorship of Clapper Rails in emergent marshes of the northern Gulf of Mexico"
74,2015-01-01,"CT River Valley Migratory Songbird Study","CTRiver","David King - UMASS","Migratory passerine use of the Connecticut river valley in Massachusetts, Vermont, and New Hampshire. "
75,2015-01-01,"AlaskaBats","AlaskaBats","We will tag little brown bats (Myotis lucifugus) at a colony adjacent to Wrangell-St. Elias National Park in Alaska. Towers are placed along the Copper River valley to detect possible southward fall migration. ","Dr. Liam McGuire, Dr. Justin Boyles, Dr. Gary McCracken. Tracking Myotis lucifugus around Wrangell-St. Elias National Park, Alaska."
